locode,country,location,port_name,subdivision,status,function,coordinates
NOAAA,NO,AAA,A i Lofoten,18,AA,1-------,6753N 01259E
NOAAV,NO,AAV,Alvik,12,AA,1-3-----,6025N 00625E
NOABE,NO,ABE,Abelnes,10,AA,1-3-----,5814N 00640E
NOABV,NO,ABV,Abelvar,17,AA,1-------,6444N 01111E
NOADN,NO,ADN,Andenes,18,AA,1-34----,6919N 01608E
NOAES,NO,AES,Alesund,15,AF,1-34----,6228N 00609E
NOAFS,NO,AFS,Anfinnsletta,18,AA,1-------,6820N 01526E
NOAFT,NO,AFT,Agnefest,10,AA,1-3-----,5807N 00702E
NOAGK,NO,AGK,Agskardet,18,AA,1-------,6643N 01329E
NOAGO,NO,AGO,Agotnes,12,AF,1-3-----,6024N 00501E
NOAHM,NO,AHM,Aheim,15,RL,1-------,6202N 00531E
NOAKK,NO,AKK,Akkarfjord,20,AA,1-------,7047N 02327E
NOAKM,NO,AKM,Akrehamn,11,AA,1-------,5915N 00510E
NOALE,NO,ALE,Alefjar,10,AA,1-------,5814N 00801E
NOALF,NO,ALF,Alta,20,AA,1-34----,6958N 02314E
NOALV,NO,ALV,Alvika,15,AA,1-------,6229N 00623E
NOAND,NO,AND,Andalsnes,15,AF,123--6--,6234N 00742E
NOANN,NO,ANN,Sannidal,08,RL,1-3-----,5853N 00917E
NOANS,NO,ANS,Ansnes,16,AA,1-------,6338N 00900E
NOARD,NO,ARD,Ardalstangen,14,AA,1-3-----,6114N 00742E
NOARE,NO,ARE,Arendal,09,AA,123-----,5827N 00846E
NOARF,NO,ARF,Arnafjord,14,AA,1-------,6101N 00623E
NOARH,NO,ARH,Ardal - Hjelmeland,11,AA,1-------,5909N 00610E
NOARM,NO,ARM,Arnoyhamn,19,AA,1-------,7003N 02038E
NOASV,NO,ASV,Austevoll,12,AA,1-------,6006N 00509E
NOATA,NO,ATA,Atangen,08,AA,1-------,5852N 00921E
NOATL,NO,ATL,Atloy,14,AA,1-------,6121N 00453E
NOAUE,NO,AUE,Aure,15,AA,1-------,6316N 00831E
NOAUK,NO,AUK,Aukra,15,AA,1-------,6249N 00654E
NOAUL,NO,AUL,Aurland,14,AA,1-------,6054N 00711E
NOAUS,NO,AUS,Austvika,18,RL,1-------,6611N 01314E
NOAVA,NO,AVA,Avaldsnes,11,AA,1-3-----,5921N 00516E
NOAVE,NO,AVE,Averoy,15,AA,1-------,6303N 00740E
NOBAF,NO,BAF,Balsfjord,19,AA,1-------,6914N 01914E
NOBAL,NO,BAL,Baly,10,AA,1-------,5802N 00709E
NOBEL,NO,BEL,Bellvika,19,AA,1-------,6947N 01846E
NOBFJ,NO,BFJ,Bergsfjord,20,AA,1-------,7015N 02147E
NOBGN,NO,BGN,Bergneset,19,RL,1-------,6915N 01921E
NOBGO,NO,BGO,Bergen,12,AA,1234----,6023N 00519E
NOBJD,NO,BJD,Bjordal,14,AA,1-------,6105N 00550E
NOBJF,NO,BJF,Batsfjord,20,AA,1-34----,7038N 02943E
NOBJU,NO,BJU,Bjugn,16,AA,1-------,6345N 00945E
NOBJX,NO,BJX,Bjorkas,02,AA,1-3-----,5947N 01030E
NOBJY,NO,BJY,Bjarkoy,19,AA,1-------,6859N 01632E
NOBKS,NO,BKS,Brekstad,16,RL,1-------,6341N 00941E
NOBKV,NO,BKV,Bjerkvik,18,RL,1-3-----,6833N 01733E
NOBLK,NO,BLK,Bleik,18,RL,1-------,6916N 01557E
NOBLL,NO,BLL,Ballangen,18,AA,1-------,6820N 01650E
NOBLO,NO,BLO,Blokken,18,AA,1-------,6836N 01523E
NOBLS,NO,BLS,Balestrand,14,AA,1-------,6112N 00632E
NOBLV,NO,BLV,Blomvag,12,AA,1-------,6032N 00453E
NOBNN,NO,BNN,Bronnoysund,18,AA,1-34----,6528N 01212E
NOBOE,NO,BOE,Boneset - Karmoy,11,AA,1-------,5922N 00517E
NOBOG,NO,BOG,Bogen,18,RL,1-3-----,6831N 01659E
NOBOK,NO,BOK,Bokn,11,AA,1-------,5913N 00526E
NOBOM,NO,BOM,Bomlo,12,AA,1-------,5936N 00513E
NOBON,NO,BON,Bognes,18,AA,1-------,6813N 01604E
NOBOO,NO,BOO,Bodo,18,AA,1234----,6717N 01422E
NOBOS,NO,BOS,Borkenes,19,RL,1-3-----,6846N 01610E
NOBOV,NO,BOV,Bovagen - Radoy,12,AA,1-3-----,6042N 00455E
NOBRH,NO,BRH,Brensholmen,19,AA,1-------,6936N 01802E
NOBRN,NO,BRN,Brandasund,12,AA,1-------,5954N 00506E
NOBRV,NO,BRV,Brattvag,15,AA,1-3-----,6236N 00626E
NOBSD,NO,BSD,Ballstad,18,RL,1-------,6804N 01333E
NOBSF,NO,BSF,Brandsfjord,16,AA,1-------,6411N 01021E
NOBTH,NO,BTH,Botnhamn,19,RL,1-3-----,6931N 01754E
NOBTN,NO,BTN,Botnaneset - Flora,14,AA,1-------,6137N 00504E
NOBTS,NO,BTS,Brettesnes,18,RL,1-------,6814N 01452E
NOBUF,NO,BUF,Burfjord,19,AA,1-------,6956N 02203E
NOBUG,NO,BUG,Bugoynes,20,RL,1-3-----,6958N 02938E
NOBUV,NO,BUV,Buvika,16,AF,1-3-----,6208N 01142E
NOBVB,NO,BVB,Breivikbotn,20,RL,1-3-----,7035N 02217E
NOBVG,NO,BVG,Berlevag,20,AI,1--4----,7051N 02906E
NOBVK,NO,BVK,Brevik,08,AA,1-3-----,5903N 00942E
NOBVR,NO,BVR,Breiviga,11,AA,1-------,5905N 00554E
NOBYN,NO,BYN,Byggnes - Karmoy,11,AA,1-------,5918N 00518E
NOBYR,NO,BYR,Byrknesoy,14,AA,1-------,6054N 00450E
NOBYS,NO,BYS,Bygstad,14,RL,1-------,6123N 00540E
NODBY,NO,DBY,Nordby,02,RL,1----6--,5956N 01134E
NODDY,NO,DDY,Espenesbogen,19,AA,1-------,6907N 01745E
NODER,NO,DER,Sperrebotn,01,AA,1-3-----,5927N 01048E
NODFJ,NO,DFJ,Dafjord,19,AA,1-------,6959N 01924E
NODIM,NO,DIM,Dimmelsvik,12,RL,1-3-----,5957N 00559E
NODIR,NO,DIR,Dirdal,11,AA,1-------,5850N 00610E
NODJU,NO,DJU,Djupvik,19,RL,1-3-----,6945N 02030E
NODOL,NO,DOL,Dolmoy,16,AA,1-------,6339N 00847E
NODRG,NO,DRG,Drag,18,AA,1-------,6802N 01604E
NODRK,NO,DRK,Drobak,02,AA,1-3-----,5939N 01037E
NODRM,NO,DRM,Drammen,06,AA,123-----,5944N 01014E
NODSF,NO,DSF,Dale,14,AA,1-3-----,6122N 00525E
NODUS,NO,DUS,Dusavik,11,RL,1-------,5900N 00539E
NODYD,NO,DYD,Dyrstad,14,RL,1-3-----,6146N 00511E
NODYL,NO,DYL,Dyroyhamn,19,AA,1-------,6901N 01726E
NODYR,NO,DYR,Dyrvik,16,AF,1-3-----,6346N 00850E
NOEDD,NO,EDD,Eidsdal,15,AA,1-------,6216N 00710E
NOEDE,NO,EDE,Eide,15,AA,1-------,6254N 00727E
NOEDF,NO,EDF,Eidfjord,12,AA,1-------,6028N 00704E
NOEDS,NO,EDS,Eide Sotra,12,AA,1-------,6015N 00504E
NOEDT,NO,EDT,Eidet,18,AA,1-------,6844N 01435E
NOEGE,NO,EGE,Egersund,11,AA,1-3-----,5827N 00600E
NOEGG,NO,EGG,Eggesbones,15,AA,1-3-----,6219N 00538E
NOEIF,NO,EIF,Eidangerfjorden,08,AA,1-------,5904N 00942E
NOEIK,NO,EIK,Eikefjord,14,RL,1-3-----,6135N 00528E
NOEIL,NO,EIL,Eidslandet,12,RL,1-3-----,6043N 00547E
NOEKF,NO,EKF,Eikefet,12,AA,1-------,6042N 00533E
NOELL,NO,ELL,Ellingsoy,15,AA,1-3-----,6230N 00620E
NOELN,NO,ELN,Elnesvagen,15,RL,1-3-----,6251N 00708E
NOELO,NO,ELO,Eikelandsosen,12,RL,1-3-----,6014N 00545E
NOENG,NO,ENG,Engene,06,RL,1-3-----,5941N 01032E
NOERF,NO,ERF,Erfjord - Suldal,11,AA,1-------,5920N 00613E
NOESP,NO,ESP,Espevik,11,RL,1-3-----,5919N 00540E
NOETN,NO,ETN,Etne,12,AA,1-------,5939N 00555E
NOEVT,NO,EVT,Evenestangen,18,AA,1-------,6801N 01600E
NOEVV,NO,EVV,Eivindvik,14,RL,1-3-----,6059N 00505E
NOEYD,NO,EYD,Eydehavn,09,AA,1-3-----,5829N 00852E
NOFAN,NO,FAN,Farsund,10,AA,1-34----,5805N 00648E
NOFAU,NO,FAU,Fauske,18,AA,123-----,6715N 01523E
NOFAX,NO,FAX,Fagerstrand,08,AF,1-3-----,5956N 00848E
NOFBL,NO,FBL,Fiskebol,18,AA,1-------,6826N 01449E
NOFDE,NO,FDE,Forde,14,AA,1-34----,6127N 00550E
NOFED,NO,FED,Fedje,12,AA,1-------,6046N 00442E
NOFFB,NO,FFB,Finnfjordbotn,19,RL,1-3-----,6913N 01805E
NOFFD,NO,FFD,Flekkefjord,10,AA,123-----,5817N 00639E
NOFIN,NO,FIN,Finneidfjord,18,AA,1-------,6611N 01347E
NOFIT,NO,FIT,Fitjar,12,AA,1-------,5955N 00519E
NOFJL,NO,FJL,Fjelldal,18,AA,1-3-----,6833N 01630E
NOFKG,NO,FKG,Frekhaug,12,RL,1-3-----,6031N 00514E
NOFLA,NO,FLA,Flam,14,RL,123-----,6052N 00707E
NOFLM,NO,FLM,Flem,15,AA,1-------,6241N 00614E
NOFLO,NO,FLO,Florvag,12,RL,1-3-----,6025N 00514E
NOFLR,NO,FLR,Flora,14,RL,1-------,6136N 00502E
NOFLY,NO,FLY,Flatoy,12,AA,1-------,6032N 00515E
NOFND,NO,FND,Finneid,18,AA,1-------,6715N 01525E
NOFNE,NO,FNE,Finnsnes,19,AA,1-3-----,6913N 01758E
NOFNN,NO,FNN,Fonnes,12,RL,1-------,6049N 00458E
NOFNS,NO,FNS,Fornes,19,AA,1-------,6852N 01728E
NOFNY,NO,FNY,Finnoy,11,AA,1-------,5910N 00548E
NOFOA,NO,FOA,Froan,16,AA,1-------,6359N 00905E
NOFOI,NO,FOI,Fossing,08,AA,1-------,5856N 00928E
NOFOL,NO,FOL,Follafoss,17,AF,1-3-----,6359N 01106E
NOFON,NO,FON,Foroy,18,AA,1-------,6644N 01331E
NOFOR,NO,FOR,Forsand,11,AA,1-------,5854N 00605E
NOFOS,NO,FOS,Fosnavag,15,AA,1-3-----,6220N 00538E
NOFRK,NO,FRK,Fredrikstad,01,AA,123-----,5912N 01055E
NOFRO,NO,FRO,Floro,14,AA,1-34----,6136N 00501E
NOFRS,NO,FRS,Forus,11,AA,123-----,5853N 00545E
